Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
1,1721146064033,16/07/2024 16:07:44,1721146182583,-4,16/07/2024 12:09:42,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1721146068347,16/07/2024 16:07:48,1721146186932,-4,16/07/2024 12:09:46,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,2873.399999976158,,,,,0,1,0,,,,,,Intro,
3,1721146079241,16/07/2024 16:07:59,1721146197824,-4,16/07/2024 12:09:57,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,10886.100000023842,,,yes,1,1,0,0,,,,,,Intro,
4,1721146080234,16/07/2024 16:08:00,1721146198817,-4,16/07/2024 12:09:58,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1001.8999999999978,,,,,0,1,0,,,1,,,Intro,
5,1721146081523,16/07/2024 16:08:01,1721146200117,-4,16/07/2024 12:10:00,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1259.7000000476837,,,,,0,1,0,,,,,,end,
6,1721146081654,16/07/2024 16:08:01,1721146200119,-4,16/07/2024 12:10:00,169297,10,task-t8eh,,39009380,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,17536,,,,,0,1,0,,,,,,,
1,1721150782757,16/07/2024 17:26:22,1721150782668,-4,16/07/2024 13:26:22,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1721150792355,16/07/2024 17:26:32,1721150792319,-4,16/07/2024 13:26:32,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,9400.299999952316,,,,,0,1,0,,,,,,Intro,
3,1721150796552,16/07/2024 17:26:36,1721150796502,-4,16/07/2024 13:26:36,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,4172.400000035763,,,yes,1,1,0,0,,,,,,Intro,
4,1721150797517,16/07/2024 17:26:37,1721150797485,-4,16/07/2024 13:26:37,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000.6000000000004,,,,,0,1,0,,,1,,,Intro,
5,1721150799184,16/07/2024 17:26:39,1721150799140,-4,16/07/2024 13:26:39,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1576.199999988079,,,,,0,1,0,,,,,,end,
6,1721150799289,16/07/2024 17:26:39,1721150799143,-4,16/07/2024 13:26:39,169297,10,task-t8eh,,39011405,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,16475,,,,,0,1,0,,,,,,,
1,1721222718915,17/07/2024 13:25:18,1721222718814,-4,17/07/2024 09:25:18,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1721222724875,17/07/2024 13:25:24,1721222724833,-4,17/07/2024 09:25:24,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,5024.699999988079,,,,,0,1,0,,,,,,Intro,
3,1721222729174,17/07/2024 13:25:29,1721222729130,-4,17/07/2024 09:25:29,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,4287.300000011921,,,yes,1,1,0,0,,,,,,Intro,
4,1721222730150,17/07/2024 13:25:30,1721222730120,-4,17/07/2024 09:25:30,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000.9000000000015,,,,,0,1,0,,,1,,,Intro,
5,1721222733509,17/07/2024 13:25:33,1721222733463,-4,17/07/2024 09:25:33,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3294.199999988079,,,,,0,1,0,,,,,,end,
6,1721222733633,17/07/2024 13:25:33,1721222733468,-4,17/07/2024 09:25:33,169297,10,task-t8eh,,39032050,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,14655,,,,,0,1,0,,,,,,,
END OF FILE
