Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1721146025379,16/07/2024 16:07:05,1721146143868,-4,16/07/2024 12:09:03,169297,10,questionnaire-tyvb,,39009355,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1646x930,,,,consent_loui,3,No,BEGIN QUESTIONNAIRE,
2,1721146062809,16/07/2024 16:07:42,1721146181382,-4,16/07/2024 12:09:41,169297,10,questionnaire-tyvb,,39009355,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1631x930,,,,consent_loui,3,No,consent-yes,1
3,1721146062901,16/07/2024 16:07:42,1721146181383,-4,16/07/2024 12:09:41,169297,10,questionnaire-tyvb,,39009355,TEAM_DEV_301,11438205,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x1067,1631x930,,,,consent_loui,3,No,END QUESTIONNAIRE,37515
1,1721150752545,16/07/2024 17:25:52,1721150752472,-4,16/07/2024 13:25:52,169297,10,questionnaire-tyvb,,39011395,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,consent_loui,3,No,BEGIN QUESTIONNAIRE,
2,1721150781381,16/07/2024 17:26:21,1721150781333,-4,16/07/2024 13:26:21,169297,10,questionnaire-tyvb,,39011395,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,consent_loui,3,No,consent-yes,1
3,1721150781490,16/07/2024 17:26:21,1721150781335,-4,16/07/2024 13:26:21,169297,10,questionnaire-tyvb,,39011395,TEAM_YA_030,11440486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x714,,,,consent_loui,3,No,END QUESTIONNAIRE,28863
1,1721222686728,17/07/2024 13:24:46,1721222686653,-4,17/07/2024 09:24:46,169297,10,questionnaire-tyvb,,39032004,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,consent_loui,3,No,BEGIN QUESTIONNAIRE,
2,1721222717500,17/07/2024 13:25:17,1721222717459,-4,17/07/2024 09:25:17,169297,10,questionnaire-tyvb,,39032004,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,consent_loui,3,No,consent-yes,1
3,1721222717632,17/07/2024 13:25:17,1721222717460,-4,17/07/2024 09:25:17,169297,10,questionnaire-tyvb,,39032004,TEAM_YA_023,11445998,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x813,,,,consent_loui,3,No,END QUESTIONNAIRE,30807
END OF FILE
