"","Gold_total","Gold_activeengagement","Gold_perceptualabilities","Gold_musicaltraining","Gold_singingabilities","Gold_emotion","Gold_musicalsophistication","eBMRQ_total","BMRQ_emotion","BMRQ_sensorimotor","BMRQ_moodreg","BMRQ_musicseek","BMRQ_socialreward","BMRQ_absorption","BDI_total","MH_total","rdees_range","rdees_differentiation","rdees_total","negmusicICC","posmusicICC","negpicICC","pospicICC","allmusicICC","allpicICC"
"Gold_total",NA,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_activeengagement",50,NA,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_perceptualabilities",50,50,NA,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_musicaltraining",50,50,50,NA,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_singingabilities",50,50,50,50,NA,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_emotion",50,50,50,50,50,NA,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"Gold_musicalsophistication",50,50,50,50,50,50,NA,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"eBMRQ_total",50,50,50,50,50,50,50,NA,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_emotion",50,50,50,50,50,50,50,50,NA,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_sensorimotor",50,50,50,50,50,50,50,50,50,NA,50,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_moodreg",50,50,50,50,50,50,50,50,50,50,NA,50,50,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_musicseek",50,50,50,50,50,50,50,50,50,50,50,NA,50,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_socialreward",50,50,50,50,50,50,50,50,50,50,50,50,NA,50,47,47,50,49,49,50,50,50,50,50,50
"BMRQ_absorption",50,50,50,50,50,50,50,50,50,50,50,50,50,NA,47,47,50,49,49,50,50,50,50,50,50
"BDI_total",47,47,47,47,47,47,47,47,47,47,47,47,47,47,NA,44,47,46,46,47,47,47,47,47,47
"MH_total",47,47,47,47,47,47,47,47,47,47,47,47,47,47,44,NA,47,46,46,47,47,47,47,47,47
"rdees_range",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,NA,49,49,50,50,50,50,50,50
"rdees_differentiation",49,49,49,49,49,49,49,49,49,49,49,49,49,49,46,46,49,NA,49,49,49,49,49,49,49
"rdees_total",49,49,49,49,49,49,49,49,49,49,49,49,49,49,46,46,49,49,NA,49,49,49,49,49,49
"negmusicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,NA,50,50,50,50,50
"posmusicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,NA,50,50,50,50
"negpicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,NA,50,50,50
"pospicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,NA,50,50
"allmusicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,NA,50
"allpicICC",50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,50,49,49,50,50,50,50,50,NA
